bank,review,rating,date,sentiment,sentiment_score,themes
CBE,This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,NEGATIVE,0.3,['other']
CBE,"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,NEGATIVE,0.26666666666666666,['other']
CBE,App is crushing recently. Please update.,4,2025-03-20,POSITIVE,0.2,['other']
BOA,Always there a problem with this app it says check your connection while connected 😞,1,2024-03-09,NEUTRAL,0.0,['other']
Dashen,"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",5,2025-04-23,POSITIVE,0.2783333333333333,['other']
BOA,"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,NEUTRAL,0.058333333333333334,['other']
BOA,"Was working fine for 2 days then Error the request was not successful please check your connectivity or try again my connection works perfectly i reinstalled the app called support multiple times all of them said it's a system problem be patient it has been a week since then, called again they even dared to say the problem is your phone restart it which i did but still the same other banking apps work perfectly but this my experience with this app, horrible the whole system is bad",1,2024-02-14,NEUTRAL,0.041666666666666685,['customer_service']
Dashen,one of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experie,5,2025-04-21,POSITIVE,0.375,['other']
Dashen,wow to it saff and this app,5,2025-05-30,NEUTRAL,0.1,['other']
BOA,"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",1,2024-07-25,NEGATIVE,0.3333333333333333,['other']
CBE,Best of the best application for ever,5,2025-02-16,POSITIVE,1.0,['other']
Dashen,This is what we call banking app. As professional I want banking app as simple as this and an app rich of features that align with my lifestyle.,5,2025-04-21,POSITIVE,0.15833333333333333,['other']
BOA,I prefer the earlier version. This updated app crushes during login and says there is bug. Please fix the bug issue.,4,2024-05-03,NEUTRAL,0.0,['login_issues']
CBE,goods app!! pleace update this apps??,4,2025-03-27,NEUTRAL,0.0,['other']
BOA,When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,3,2024-07-24,NEUTRAL,0.0,['other']
Dashen,Excellent banking app for all your needs! Who needs a physical branch when you can use Dashen Bank Super App Instead! I've never had an issue with anything that Dashen Bank Super App haven't handled swiftly and resolved to my satisfaction and above I don't often write reviews but this is an app/bank that I would highly recommended to everyone 💯 👌👍,5,2025-01-22,POSITIVE,0.3183333333333333,['other']
CBE,"the app is very good, but why screenshots is impossible?",5,2025-03-31,POSITIVE,0.12166666666666665,['other']
BOA,This app doesn't work,1,2024-06-30,NEUTRAL,0.0,['other']
CBE,Cbe,5,2025-02-03,NEUTRAL,0.0,['other']
CBE,The sum is good.,3,2025-03-30,POSITIVE,0.7,['other']
CBE,the app has a bug and it keeps crashing 😑 please provide an update and fix the issue thank you....,3,2025-03-17,NEUTRAL,0.0,['performance']
CBE,Good and easy to use,5,2025-03-31,POSITIVE,0.5666666666666667,['other']
BOA,"I'm sorry but what kind of stupid developer thinks the app will be faster if we disable ""Developer mode""? I've never seen such degeneracy in my entire life, please get rid of this feature",1,2024-05-29,NEGATIVE,0.13999999999999999,['other']
BOA,It is always crushing it loged me out all the time,1,2024-04-28,POSITIVE,0.4,['other']
BOA,"This new update really sucks.. Can't even get the chance to put my pin, bugs and everything,please fix it developer",1,2024-04-29,NEUTRAL,0.08181818181818182,['other']
Dashen,Amazing app to use as usual! But why option of transferring to Telebirr and M pesa which was available on Amole app is omitted?? Dasheen is my favourite keep it up.,4,2025-01-20,POSITIVE,0.2291666666666667,['transactions']
CBE,the best mobile banking app,5,2025-05-21,POSITIVE,1.0,['other']
BOA,Bad app,1,2024-04-29,NEGATIVE,0.6999999999999998,['other']
CBE,some times it is difficult to get reciepts for the payment made,1,2025-03-23,NEGATIVE,0.5,['transactions']
CBE,without any reason it shows white screen and can't make transfers. Then when I went to branch then they reply go to the branch where you open your account.,1,2025-02-01,NEUTRAL,0.0,['transactions']
BOA,it doesnt work it crashes,1,2024-05-03,NEUTRAL,0.0,['performance']
BOA,It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,NEUTRAL,0.0875,['other']
BOA,A painfully slow banking app service. Please don't make it your choice!,1,2024-10-13,NEGATIVE,0.37500000000000006,['performance']
BOA,The worst App i have never seen like this before,1,2024-11-12,NEGATIVE,1.0,['other']
BOA,"From now on I will never going to use this app,It is a trash app.No one care about this app from bank I will rate them 0/5.",1,2024-07-06,NEUTRAL,0.0,['other']
BOA,Worst application I ever used,1,2024-02-23,NEGATIVE,1.0,['other']
BOA,wow its so attractive,5,2024-04-09,POSITIVE,0.45,['other']
BOA,always problematic hardly works,1,2025-03-26,NEGATIVE,0.2916666666666667,['other']
BOA,Just use other banks if you want a good mobile app. CBE is 40X faster and safe than this app.,1,2024-03-23,POSITIVE,0.35833333333333334,['other']
CBE,"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,NEUTRAL,0.0,['transactions']
BOA,I think I remember it worked once upon time...,2,2024-05-02,NEUTRAL,0.0,['other']
BOA,Great,5,2024-11-25,POSITIVE,0.8,['other']
CBE,"After the last two update, I am facing the worst experience with this app.",1,2025-02-02,NEGATIVE,0.5,['other']
BOA,"Some problem this app,",1,2024-04-20,NEUTRAL,0.0,['other']
BOA,"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",1,2024-08-03,NEGATIVE,0.20444444444444446,['performance']
CBE,"Its not bad, but there are plenty of errors .",2,2025-02-17,POSITIVE,0.3499999999999999,['other']
CBE,"It lags before showing the transaction and you have to use the one in the sms message , why doesn't it work on the app it just says loading",1,2025-02-18,NEUTRAL,0.0,['other']
CBE,how to I get my money,5,2025-05-22,NEUTRAL,0.0,['other']
BOA,"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,POSITIVE,0.375,['other']
CBE,Very best app,5,2025-02-22,POSITIVE,1.0,['other']
BOA,Excited by your service,5,2024-06-02,POSITIVE,0.375,['other']
BOA,best app from any mobilebanking,5,2024-05-04,POSITIVE,1.0,['other']
Dashen,"Proudly made in Ethiopia, this innovation delivers more than promised. The marketplace is a major boost for local commerce",5,2025-04-21,POSITIVE,0.340625,['other']
CBE,It is good,5,2025-02-02,POSITIVE,0.7,['other']
Dashen,It keep my time to pay my bills and I generate my satment easily,5,2025-04-21,POSITIVE,0.43333333333333335,['other']
BOA,"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04,NEUTRAL,0.075,['other']
Dashen,"#dashen super app is easy to use, secure & fast transaction😍",5,2025-04-22,POSITIVE,0.3416666666666666,['other']
Dashen,Assefa Genetu = Dashen superup is the latest and inclussive .I am happy with this super up.,5,2025-04-22,POSITIVE,0.5444444444444444,['other']
BOA,"Developers/ the company takes too long to update the app, and throughout that process, the app is basically useless. We can't send money or even be able to check our account. They even take it down from the Play Store for a while. This whole process usually takes them 3 to 5 days. This is very disappointing. It is an improvement from the previous version of the app, but they still have a long way to go to compete with the likes of CBE. Transferring to other banks sometimes doesn't work.",2,2024-05-03,NEGATIVE,0.13772222222222225,['transactions']
BOA,This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,NEGATIVE,0.1075,['other']
CBE,i can't take screenshot,1,2025-04-18,NEUTRAL,0.0,['other']
CBE,the most useful,5,2025-04-01,POSITIVE,0.4,['other']
CBE,CBE app is great,5,2025-03-20,POSITIVE,0.8,['other']
Dashen,Amizing Application 😍,5,2025-01-22,NEUTRAL,0.0,['other']
CBE,it's very good,5,2025-03-23,POSITIVE,0.9099999999999999,['other']
BOA,"Worst App it ain't allowing yo activate not even in the nearest branch are able to activate it. I have been client of the bank for 10years. What is this BoA? As we know it being a leading in simplifying banking service this App needs to be fixed. Then we will give it better rate,",1,2024-02-13,NEUTRAL,0.024999999999999994,['other']
BOA,Preventing login because I have developer options on is not security. Moved all my money somewhere else because I just didn't wanna deal with it,1,2024-05-11,NEUTRAL,0.0,['login_issues']
BOA,Fast and suitable for the customers.,5,2025-01-04,POSITIVE,0.375,['other']
CBE,It keeps asking for an update recursively since the last update. What is going on??,2,2025-01-25,NEUTRAL,0.0,['other']
CBE,Solve unwanted time and the time to losses cbe office,5,2025-02-21,NEUTRAL,0.0,['other']
CBE,there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,2,2025-03-24,NEUTRAL,0.04999999999999999,['other']
BOA,Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,NEUTRAL,0.06,['other']
BOA,"Worest app, it cannot be downloaded",2,2024-06-05,NEUTRAL,0.0,['other']
Dashen,Better and inclusive app!,5,2025-04-21,POSITIVE,0.625,['other']
BOA,Perfect,5,2025-01-09,POSITIVE,1.0,['other']
CBE,fast and simple easy to use 👌,5,2025-05-12,POSITIVE,0.2111111111111111,['other']
CBE,Easy to Use and Effecent System.,5,2025-02-28,POSITIVE,0.43333333333333335,['other']
CBE,The worst I had to flight back to fix my app it need you to go back every 4 month not reliable for foreigners,1,2025-01-31,NEGATIVE,0.3333333333333333,['other']
BOA,OTP should be inserted manually. not working on my phone,2,2024-04-02,NEUTRAL,0.0,['other']
BOA,I couldn't transfer because of bug's its annoying for a bank app nots acceptable,1,2024-03-15,NEGATIVE,0.8,['transactions']
Dashen,great app,5,2025-04-30,POSITIVE,0.8,['other']
BOA,"The app does not work well from abroad, there have been continuous upgrades and updates that are very interruptive and non-responsive. Staff do not have the technical capabilities to support whereas the support number and online support are never available.",1,2024-02-12,NEUTRAL,0.0,['customer_service']
CBE,accessible to using,5,2025-05-23,POSITIVE,0.375,['other']
BOA,Cool,4,2024-05-22,POSITIVE,0.35,['other']
Dashen,very comfortable app keep it,5,2025-04-21,POSITIVE,0.52,['other']
BOA,"Shockingly bad! Even when it decides to work, it's painfully slow and frustrating. Such a shame that it has become a stain on an extraordinary bank",1,2024-09-06,NEGATIVE,0.2483333333333333,['performance']
BOA,there is no speed,1,2025-03-19,NEUTRAL,0.0,['other']
BOA,It doesn't work at all.,2,2025-01-02,NEUTRAL,0.0,['other']
BOA,Crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,1,2024-07-19,POSITIVE,0.1391666666666667,['performance']
BOA,After the recent update the application keeps crashing when I tried to open. Please fix.,1,2024-03-01,NEUTRAL,0.0,['performance']
Dashen,"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24,POSITIVE,0.4,"['ui_ux', 'transactions']"
BOA,this is worest app 24/7 loading,1,2025-06-01,NEUTRAL,0.0,['other']
BOA,Good app,5,2025-03-03,POSITIVE,0.7,['other']
BOA,The app keeps crashing it stops responding while I'm using it or trying to open the app. Now I have to go to the bank in person to do any banking activities. In short it is the worst mobile banking system in Ethiopia,1,2024-07-11,NEGATIVE,0.3333333333333333,['performance']
BOA,worst banking app i have ever used. Try to modify it,2,2024-03-19,NEGATIVE,1.0,['other']
Dashen,"dashen bank supper app is the most easy to use and have high speed,quality and I like features like chat,budget,fuel payment, and security for my opinion this product is techonolgy edge,this international standard thanks for product oweners (dashen bank)",3,2025-04-21,POSITIVE,0.21555555555555553,['transactions']
BOA,"the app used to run fine, but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own. you guys gotta step it up. we need this app to be way faster",1,2024-06-27,POSITIVE,0.29583333333333334,['performance']
CBE,I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,POSITIVE,0.3333333333333333,['other']
BOA,Verry Amazing App from all IB,5,2025-03-01,POSITIVE,0.6000000000000001,['other']
BOA,After recent update the app keeps asking to disable developers options and won't let you use it unless you do.,2,2024-05-10,NEUTRAL,0.0,['other']
BOA,i find it interesting specially in reciept downloading,1,2024-11-12,POSITIVE,0.4285714285714286,['other']
BOA,boa of mobile backing,5,2025-04-09,NEUTRAL,0.0,['other']
BOA,I think this one is better than the prvious one much faster but try to make it more faster like nib and cbe specially nib bake their app is very nice but the bank is not anyways good job on this one,5,2024-02-04,POSITIVE,0.5061904761904762,['other']
BOA,Not working on this days,1,2025-02-26,NEUTRAL,0.0,['other']
BOA,Great service,5,2024-11-12,POSITIVE,0.8,['other']
BOA,the new updated app exception handling for connection fluctuations is so exhausting which lead users to login repeated times.,1,2024-04-20,NEGATIVE,0.13181818181818183,['login_issues']
BOA,it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-03-31,NEUTRAL,0.0,['performance']
Dashen,"It's great! But it will be advanced if you include a caption that allow customers to transfer to Telebirr account. Dashen Bank, ""ኩሉ ግዜ፡ ሓደ ስጕሚ ቀዳሚ።"" (Always one step ahead!)",4,2025-01-15,POSITIVE,0.75,['transactions']
BOA,Very laggy un able to make transactions Fix it,1,2024-05-10,POSITIVE,0.35,['other']
BOA,"Installed the latest version of this app on my Android 14 device, but it is not working. I have already received the activation key from your branch (via SMS), but couldn't activate it. It is a failed app. I bet you don't have QA testers.",1,2024-04-24,NEUTRAL,0.0,['other']
BOA,"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,NEGATIVE,1.0,['other']
BOA,"The updated version of this app is just time wasting. It doesn't work with 2G/3G network.require log in frequently,not fast as much as possible.automatic log out are the bad features of this app",1,2024-04-13,NEUTRAL,0.09999999999999994,['other']
CBE,It's easy and user friendly!,5,2025-01-29,POSITIVE,0.4510416666666667,['other']
BOA,"This is not functional at all, it takes forever to make a transaction,please improve it.",1,2024-04-24,NEUTRAL,0.0,['other']
CBE,no screenshot and biometrics on this version wtfk?,3,2025-03-21,NEUTRAL,0.0,['other']
CBE,The great app CBE,5,2025-03-09,POSITIVE,0.8,['other']
CBE,Good app,5,2025-05-15,POSITIVE,0.7,['other']
BOA,Very bad app as always bothering any transaction processes.,1,2024-05-03,NEGATIVE,0.9099999999999998,['other']
BOA,"I have a fitayah account, a type of interest free account, and because their system is unable to process anything for people like me I can't see any of my accounts in the account list on any transaction, although I can see it when performing security actions or checking my balance, as such this app is as useless to me as the previous one. Unbelievable",1,2024-02-18,NEGATIVE,0.16944444444444443,['other']
Dashen,Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,POSITIVE,0.35833333333333334,['transactions']
CBE,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,NEGATIVE,0.1405050505050505,['other']
CBE,"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,NEUTRAL,0.046666666666666655,['transactions']
CBE,Best and ease to use,5,2025-01-24,POSITIVE,1.0,['other']
BOA,To get good quality,5,2024-07-27,POSITIVE,0.7,['other']
CBE,thank you very much and we are very very happy with your service🥰,5,2025-01-24,POSITIVE,0.63,['other']
BOA,Best app but after the update the screenshot not working,4,2024-02-19,POSITIVE,1.0,['other']
CBE,Thankz,5,2025-03-02,NEUTRAL,0.0,['other']
BOA,Simplify your life by using the Abyssinia app I like it because it is comfortable and safe,5,2024-04-11,POSITIVE,0.45,['other']
BOA,it keeps crashing,1,2024-04-29,NEUTRAL,0.0,['performance']
CBE,It is best app,5,2025-02-13,POSITIVE,1.0,['other']
BOA,I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,POSITIVE,0.30833333333333335,['other']
Dashen,Naiycapp,5,2025-03-13,NEUTRAL,0.0,['other']
Dashen,good app,5,2025-03-04,POSITIVE,0.7,['other']
CBE,Most effective so far.,5,2025-02-20,POSITIVE,0.4000000000000001,['other']
CBE,Very best and fast money transferring app,5,2025-02-22,POSITIVE,0.6,['transactions']
Dashen,its my choice,5,2025-05-15,NEUTRAL,0.0,['other']
CBE,I gave it 5🌟 BC this app deserves. Thank you for your services. Appreciated.,5,2025-02-19,POSITIVE,0.2,['other']
BOA,Not bad but please make it lite pls,1,2024-04-23,POSITIVE,0.3499999999999999,['other']
Dashen,"The user experience is seamless, and everything just works perfectly right out of the box. I can’t believe how much time and effort it saves me every day.",5,2025-04-21,POSITIVE,0.1952380952380952,['other']
CBE,it's very low quality application,1,2025-05-04,NEUTRAL,0.0,['other']
Dashen,Wow Excellent app,5,2025-03-08,POSITIVE,0.55,['other']
Dashen,A fantastic product!! keep the good work.,5,2025-04-21,POSITIVE,0.6625,['other']
Dashen,The best App of all,5,2025-03-17,POSITIVE,1.0,['other']
CBE,It is Good application,4,2025-02-22,POSITIVE,0.7,['other']
BOA,The poorest mobile banking I have seen in the industry. Is not stable to login and post transactions. Is not attractive. Error reports frequently.,5,2024-06-13,NEGATIVE,0.15000000000000002,['login_issues']
CBE,"slow, only one account is used",2,2025-04-19,NEGATIVE,0.15000000000000002,['performance']
Dashen,"A proudly Ethiopian innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers and sellers. Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants!",5,2025-04-21,POSITIVE,0.4623376623376623,['customer_service']
BOA,Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,1,2024-08-04,NEUTRAL,0.0,['other']
Dashen,"I have an incredible experience with Dashen super app, what an amazing platform is it?. keep pioneering in technological advancement 👏👏👏",5,2025-04-21,POSITIVE,0.6111111111111112,['other']
CBE,CBE birr app is my best choice.,5,2025-03-12,POSITIVE,1.0,['other']
Dashen,I am so thankful for having this best app Dashen one step ahead,5,2025-02-04,POSITIVE,1.0,['other']
BOA,"why do we need to turn off ""developer options"" in order to use your app, on the new update??? Are we suppose to not use our device for other purposes just so we can use your app? It is not security it is BS. (fix that and I will update my rating)",1,2024-05-01,NEUTRAL,0.005681818181818177,['other']
BOA,By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,NEUTRAL,0.0,['other']
CBE,It literarily don't work at all,4,2025-04-01,NEUTRAL,0.1,['other']
CBE,this app is best,1,2025-03-23,POSITIVE,1.0,['other']
BOA,Disgrace app,1,2024-05-08,NEUTRAL,0.0,['other']
BOA,"I tried it with different phones, it only worked for about a week and then it stopped working. It needs some serious work.",1,2024-04-25,NEGATIVE,0.1111111111111111,['other']
BOA,Loved it,5,2025-03-14,POSITIVE,0.7,['other']
BOA,"Absolutely the worst mobile banking app.it crashs every time,problem when logging in and and cuts my balance when top up without even recharging",1,2024-05-17,NEGATIVE,0.10000000000000002,['performance']
BOA,How disappointing!,1,2024-05-25,NEGATIVE,0.75,['other']
Dashen,"It's an amazing app that is up-to-date with the times, wow wow",5,2025-04-21,POSITIVE,0.26666666666666666,['other']
BOA,Thes is nise app,5,2024-02-19,NEUTRAL,0.0,['other']
Dashen,The first 3 star review is me,3,2025-01-25,POSITIVE,0.25,['other']
Dashen,Massive upgrade from the Amole app.,5,2025-05-31,NEUTRAL,0.0,['other']
Dashen,Well developed,5,2025-01-14,NEUTRAL,0.1,['other']
BOA,"Why the app doesn't allow to update the previous version. In addition to this, when I install the new version and try to activate, the app doesn't allow to write the activation OTP code to the screen. I have received the OTP password from telegram and email. Would you please fix this bug. Thank you",1,2024-02-03,NEUTRAL,0.015151515151515152,['login_issues']
CBE,Updating the app is must everytime they release it even to reload the transaction.,2,2025-01-29,NEUTRAL,0.0,['other']
CBE,this app is my favorite application,5,2025-03-22,POSITIVE,0.5,['other']
Dashen,Great!,5,2025-01-15,POSITIVE,1.0,['other']
BOA,Overrated service and recently glitching service system not being able to withdraw funds.,1,2024-02-26,POSITIVE,0.25,['other']
Dashen,The new e-commerce feature is incredibly amazing and user friendly.,5,2025-04-21,POSITIVE,0.3704545454545454,['other']
BOA,I can't update the enable button not open.,1,2024-04-24,NEUTRAL,0.0,['other']
CBE,cbe,5,2025-03-24,NEUTRAL,0.0,['other']
BOA,It is ok,5,2024-09-01,POSITIVE,0.5,['other']
BOA,Don't trust this bank and its service.,1,2024-08-16,NEUTRAL,0.0,['other']
Dashen,Amazing Application,5,2025-04-21,POSITIVE,0.6000000000000001,['other']
CBE,it is good app but when I make inter bank transaction It can't display The receiver account number and name of receiver and also receiver bank,4,2025-03-19,POSITIVE,0.7,['other']
