review,rating,date,bank,source
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play
it's easy and fast,5,2025-05-10,CBE,Google Play
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play
wow best application ever,5,2025-05-09,CBE,Google Play
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play
All service of Mobile Banking,5,2025-05-06,CBE,Google Play
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play
good but these week not oky,4,2025-05-06,CBE,Google Play
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play
it's very low quality application,1,2025-05-04,CBE,Google Play
Very Amazing Apps,5,2025-05-04,CBE,Google Play
wow simple life,5,2025-05-04,CBE,Google Play
it's nice,5,2025-05-03,CBE,Google Play
Why stacked sometimes,5,2025-05-03,CBE,Google Play
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play
Good and fast,5,2025-05-02,CBE,Google Play
Best the best fast,5,2025-05-02,CBE,Google Play
fast and reliable,5,2025-05-02,CBE,Google Play
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play
its good and simple to use,5,2025-05-02,CBE,Google Play
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play
it's the best app i,5,2025-05-02,CBE,Google Play
its very nice,5,2025-05-02,CBE,Google Play
It crashes frequently,4,2025-04-30,CBE,Google Play
the best,5,2025-04-28,CBE,Google Play
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play
best appearance,5,2025-04-27,CBE,Google Play
I need support you,5,2025-04-26,CBE,Google Play
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play
the Best,1,2025-04-26,CBE,Google Play
to other bank is bad,1,2025-04-25,CBE,Google Play
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play
it is so nice,5,2025-04-24,CBE,Google Play
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play
Great app,5,2025-04-21,CBE,Google Play
well app,5,2025-04-20,CBE,Google Play
Actually it is inactive,4,2025-04-19,CBE,Google Play
"slow, only one account is used",2,2025-04-19,CBE,Google Play
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play
i can't take screenshot,1,2025-04-18,CBE,Google Play
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play
perfectly special,5,2025-04-18,CBE,Google Play
Fast and Reliable,5,2025-04-18,CBE,Google Play
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,CBE,Google Play
because sometimes it doesn't working it load too much,3,2025-04-17,CBE,Google Play
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play
very nice app ever!!!,5,2025-04-16,CBE,Google Play
the best app,5,2025-04-16,CBE,Google Play
Biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play
great app,5,2025-04-15,CBE,Google Play
it's special apps,5,2025-04-15,CBE,Google Play
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play
everthing wellbeok,3,2025-04-13,CBE,Google Play
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-12,CBE,Google Play
why did this app is not screenshot,5,2025-04-12,CBE,Google Play
it so good app,5,2025-04-12,CBE,Google Play
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play
simply for used,4,2025-04-10,CBE,Google Play
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,CBE,Google Play
everything is easy thank you cebe,5,2025-04-10,CBE,Google Play
but this app says can't sync,5,2025-04-09,CBE,Google Play
work on screen shot system,4,2025-04-08,CBE,Google Play
very very nice aplication,1,2025-04-08,CBE,Google Play
wonder full and it is easy to use,5,2025-04-08,CBE,Google Play
easy and reliable,2,2025-04-08,CBE,Google Play
it is Very Useful app 👍,5,2025-04-07,CBE,Google Play
commerial Bank,5,2025-04-06,CBE,Google Play
it is good but it doesn't allow screen shot,4,2025-04-06,CBE,Google Play
the best one,5,2025-04-06,CBE,Google Play
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,CBE,Google Play
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,CBE,Google Play
easy to use,5,2025-04-05,CBE,Google Play
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,CBE,Google Play
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,CBE,Google Play
this app is very necessary app many people found it,5,2025-04-03,CBE,Google Play
cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,CBE,Google Play
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,CBE,Google Play
thankyou,5,2025-04-02,CBE,Google Play
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play
it's great,5,2025-04-02,CBE,Google Play
very good app and stars faction with work,5,2025-04-01,CBE,Google Play
It is excelent,5,2025-04-01,CBE,Google Play
very interesting app,5,2025-04-01,CBE,Google Play
the most useful,5,2025-04-01,CBE,Google Play
I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,CBE,Google Play
Easy to use,5,2025-04-01,CBE,Google Play
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,CBE,Google Play
always we relay on,5,2025-04-01,CBE,Google Play
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,CBE,Google Play
it's need more improvement like Tellbirr.,4,2025-04-01,CBE,Google Play
it's good app,5,2025-04-01,CBE,Google Play
It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,CBE,Google Play
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,CBE,Google Play
best transaction method of financial,5,2025-04-01,CBE,Google Play
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01,CBE,Google Play
It literarily don't work at all,4,2025-04-01,CBE,Google Play
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-03-31,CBE,Google Play
before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,2025-03-31,CBE,Google Play
Tnc Cbe,5,2025-03-31,CBE,Google Play
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,CBE,Google Play
great apps,5,2025-03-31,CBE,Google Play
Great app!,4,2025-03-31,CBE,Google Play
CBE,5,2025-03-31,CBE,Google Play
great when it works,5,2025-03-31,CBE,Google Play
"the app is very good, but why screenshots is impossible?",5,2025-03-31,CBE,Google Play
easy to use and user friendly,5,2025-03-31,CBE,Google Play
well software,5,2025-03-31,CBE,Google Play
CBE very good apps,5,2025-03-31,CBE,Google Play
"This application fast, secure and more convenient. Thanks CBE",5,2025-03-31,CBE,Google Play
it's best,5,2025-03-31,CBE,Google Play
Why didn't you display cash transactions and bank statement in the mobile banking app?,4,2025-03-31,CBE,Google Play
our legitimate bank,4,2025-03-31,CBE,Google Play
Ever and never seen this kind of app I proud my CBE,5,2025-03-31,CBE,Google Play
very good and safe for me!,5,2025-03-31,CBE,Google Play
"very good, but sometimes....",4,2025-03-31,CBE,Google Play
Why not allowed to pay for fuel?,4,2025-03-31,CBE,Google Play
Really! this app is more simple to use at any time in every where also it's transaction quality between the users within the transaction receipt as abank that means this app is our bank on hand in mobile frankly I proud on this bank digital. I have no word to wrote ...... but it's have weakness on poor connection.,5,2025-03-31,CBE,Google Play
Great version,5,2025-03-31,CBE,Google Play
Good and easy to use,5,2025-03-31,CBE,Google Play
nice app and fast money transfer,5,2025-03-31,CBE,Google Play
Really automated...,5,2025-03-31,CBE,Google Play
Recently app keeps closing and the notification after says this app has a bug. Can you make an update please,4,2025-03-31,CBE,Google Play
there is some issue the process it delay,3,2025-03-31,CBE,Google Play
what an amazing application in Ethiopian Banking industry which is very interested one!,5,2025-03-31,CBE,Google Play
interesting,3,2025-03-30,CBE,Google Play
it is very good app,5,2025-03-30,CBE,Google Play
It is very excellent anddynamic plus user friend all in one bank apps of the era. I loved it.,5,2025-03-30,CBE,Google Play
Very God thanks,5,2025-03-30,CBE,Google Play
The sum is good.,3,2025-03-30,CBE,Google Play
best of bests,5,2025-03-30,CBE,Google Play
am happy thank you CBE🫡,5,2025-03-30,CBE,Google Play
"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",3,2025-03-30,CBE,Google Play
best apps for useing,5,2025-03-29,CBE,Google Play
Good apps ...But fix the screenshot its not easy like before ......,5,2025-03-29,CBE,Google Play
"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",5,2025-03-29,CBE,Google Play
in this update why screenshoot is disabled now it's not working,1,2025-03-28,CBE,Google Play
"realy I donot seen like this application ! fast ,safe ande confortable",5,2025-03-28,CBE,Google Play
Excellent but needed upgrading!,5,2025-03-28,CBE,Google Play
goods app!! pleace update this apps??,4,2025-03-27,CBE,Google Play
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",1,2025-03-27,CBE,Google Play
Fantastic app! I appreciate it very much,5,2025-03-27,CBE,Google Play
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,2025-03-26,CBE,Google Play
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,1,2025-03-26,CBE,Google Play
why why u remove screen shoot😡😡,2,2025-03-26,CBE,Google Play
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",1,2025-03-26,CBE,Google Play
very nice one,5,2025-03-26,CBE,Google Play
good application,5,2025-03-25,CBE,Google Play
problem solver and the best fast app,5,2025-03-25,CBE,Google Play
Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,3,2025-03-25,CBE,Google Play
you must added dark mode options ❗,3,2025-03-24,CBE,Google Play
Thank you,5,2025-03-24,CBE,Google Play
cbe,5,2025-03-24,CBE,Google Play
very nice and convenient app,5,2025-03-24,CBE,Google Play
there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,2,2025-03-24,CBE,Google Play
Great experience so far but why this app ain't working while developer mode is on?,4,2025-03-24,CBE,Google Play
why did the screen shot stopped ?????,3,2025-03-24,CBE,Google Play
it's a very good application but sometimes it takes a long time to synchronize,4,2025-03-23,CBE,Google Play
it's very good,5,2025-03-23,CBE,Google Play
to getting money,5,2025-03-23,CBE,Google Play
some times it is difficult to get reciepts for the payment made,1,2025-03-23,CBE,Google Play
this app is best,1,2025-03-23,CBE,Google Play
it's very useful,5,2025-03-23,CBE,Google Play
best app and update more features *****,5,2025-03-23,CBE,Google Play
best app for this vast digital finanical word,5,2025-03-23,CBE,Google Play
this app is my favorite application,5,2025-03-22,CBE,Google Play
Hooo I love this application,5,2025-03-22,CBE,Google Play
The app protects me from screenshot after update. Please make revision on the app.,4,2025-03-22,CBE,Google Play
Screenshot or slip not working,2,2025-03-22,CBE,Google Play
thank you for help,5,2025-03-22,CBE,Google Play
I'm sad guys what are you doing? Why did you add the screenshot restriction to the app? You just made it worse it was a great value to us. You need to rethink it. i will change the 1 star rating when you resolve the issue.,1,2025-03-22,CBE,Google Play
Thise is helpfull and have good and easy for mobile money usage in ethiopia,5,2025-03-22,CBE,Google Play
thank you,5,2025-03-22,CBE,Google Play
good app.,5,2025-03-22,CBE,Google Play
"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",1,2025-03-21,CBE,Google Play
Since last week this app has started not working. It simply log in without network but can't sync. Please fix it.,5,2025-03-21,CBE,Google Play
What an absolutely terrible update. No screenshots and you still have this stupid restriction on developer options. WHAT ABOUT THOSE OF US WHO ARE ACTUALLY DEVELOPERS!!!!!! At this point telebirr just wins the game 100%. CBE. Do. Better!,1,2025-03-21,CBE,Google Play
Wow its my in,5,2025-03-21,CBE,Google Play
In the lasted update you removed the capability to screenshot transactions.,3,2025-03-21,CBE,Google Play
how do you disable screenshots on a banking app you are very unserious people,1,2025-03-21,CBE,Google Play
no screenshot and biometrics on this version wtfk?,3,2025-03-21,CBE,Google Play
"Not Good, too lame to use",1,2025-03-21,CBE,Google Play
CBE app is great,5,2025-03-20,CBE,Google Play
its good and saving time,5,2025-03-20,CBE,Google Play
"this new update(Mar 19,2025) is great in fixing bugs, stability and smooth experience I'll give u that but it came with a big shortcoming which is not allowing to take screenshot. I can't screenshot neither my balance nor the transaction or anything within the app, i understand it's for security reasons but please bring that back, allow us to take screenshot we need that. Thanks.",4,2025-03-20,CBE,Google Play
"what went wrong, I couldn't take a screenshot.",3,2025-03-20,CBE,Google Play
App is crushing recently. Please update.,4,2025-03-20,CBE,Google Play
It is good but why screenshot is forbidden,4,2025-03-20,CBE,Google Play
Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,1,2025-03-20,CBE,Google Play
New update version 5.0.9 keeps crashing it needs maintenance,3,2025-03-19,CBE,Google Play
the update is unneeded,1,2025-03-19,CBE,Google Play
as if the update of march 19 i can't take a screenshot in the app. i can just save it as file and that is so annoying. i used to save all screenshot in my gallery in one folder now with the extra steps added i have to save the file go to file and then screenshot it. the solution is to allow the screenshot to be save in to gallery automatically. i wish you give this review attention and resolve the issue shortly.,2,2025-03-19,CBE,Google Play
it is good app but when I make inter bank transaction It can't display The receiver account number and name of receiver and also receiver bank,4,2025-03-19,CBE,Google Play
It was nice but now it dose not opened the transactions,5,2025-03-18,CBE,Google Play
The apps is good to use,5,2025-03-17,CBE,Google Play
It's best app but Please add(included) payment of water bill,4,2025-03-17,CBE,Google Play
the app has a bug and it keeps crashing 😑 please provide an update and fix the issue thank you....,3,2025-03-17,CBE,Google Play
This is my favorite App,5,2025-03-17,CBE,Google Play
1.we can't get mobile Token on CBE App or any other online. This is need to improve 2.internet banking is always say authenticate error after some weeks this is need to improve.,4,2025-03-15,CBE,Google Play
excellent app for account transaction specially for bussiness customers and a good method to pay bills and different personal payment.,5,2025-03-15,CBE,Google Play
"The app has brought a new problem. When i open the app, it closes itself then i have to open it again. Please fix this issue if it's your problem",3,2025-03-14,CBE,Google Play
"In my view, I can't give any conclusion because it's the starting of an online banking in my country. However, the commercial bank of ethiopia must rebuild this app and also need to make more access to changing the system. Keep continuing ethiopia 🇪🇹 🇪🇹🇪🇹🇪🇹",5,2025-03-14,CBE,Google Play
Very attractive and user-friendly,5,2025-03-13,CBE,Google Play
Good apps,5,2025-03-13,CBE,Google Play
My special app and my proud bank of Ethiopia.,5,2025-03-13,CBE,Google Play
The app need update it always crash,1,2025-03-13,CBE,Google Play
It is very comfortable and simple to use!!! But whay standing order is not work?,5,2025-03-13,CBE,Google Play
"One of the best apps I have used ,",5,2025-03-13,CBE,Google Play
I am appreciate this app,5,2025-03-12,CBE,Google Play
I'm very happy using this app. Thanks to developers.,5,2025-03-12,CBE,Google Play
CBE birr app is my best choice.,5,2025-03-12,CBE,Google Play
Exceptional/incredible,5,2025-03-12,CBE,Google Play
Joyful app,5,2025-03-11,CBE,Google Play
Unstatisfied with the new update keeps crashing every now and then and even though i haven't reached the max txn per day still refuses to transfer...probably going to change my bank if it's not fixed asap,1,2025-03-10,CBE,Google Play
It is one of the disappointed Bank you don't suppose to include Ethiopian on your name you don't deserve it.,1,2025-03-10,CBE,Google Play
Simple and easy to use,5,2025-03-10,CBE,Google Play
it's not good app,5,2025-03-10,CBE,Google Play
"I have been using CBE App for long, but recently it has started crashing repeatedly and even my phone is reporting that the app has bugs and tells me to wait the developer to fix these bugs.",1,2025-03-09,CBE,Google Play
The great app CBE,5,2025-03-09,CBE,Google Play
Why it asks me Update repeatedly as soon as I download it !!,1,2025-03-09,CBE,Google Play
Commercial Bnk Rate this,5,2025-03-08,CBE,Google Play
It is good for many aspect. If I can get transactions report with time duration(periodically),3,2025-03-07,CBE,Google Play
Best performing app,5,2025-03-07,CBE,Google Play
Best banck in Ethiopia,5,2025-03-06,CBE,Google Play
Two step verification update is fake (meaningless). Why because the app gives you an option of to use pin while requesting two step verification step. 🔐 This updated app is not differ than the previous one in case of security & safegaurding users.👹👹💀💀 The other features of the app are best and easy to use it.⭐️⭐️⭐️⭐️⭐️,1,2025-03-06,CBE,Google Play
Its good,5,2025-03-05,CBE,Google Play
Why don't install,5,2025-03-05,CBE,Google Play
Very good thank you,5,2025-03-04,CBE,Google Play
I have been a customer of the Commercial Bank of Ethiopia for many years,5,2025-03-03,CBE,Google Play
"We need this app to work properly, and it looks like an outdated",2,2025-03-03,CBE,Google Play
The app crashes too many times. It's a buggy app,1,2025-03-03,CBE,Google Play
Thankz,5,2025-03-02,CBE,Google Play
Verry good it is easy to use anything,5,2025-03-01,CBE,Google Play
Its gopd,5,2025-03-01,CBE,Google Play
So slow with Internet,1,2025-03-01,CBE,Google Play
I phone app is not working,2,2025-03-01,CBE,Google Play
It's very useful Apps,5,2025-03-01,CBE,Google Play
It is better app,5,2025-03-01,CBE,Google Play
Good work very important,5,2025-02-28,CBE,Google Play
It is exlent app it is helful,5,2025-02-28,CBE,Google Play
It don't work,1,2025-02-28,CBE,Google Play
Bad security 🔓,2,2025-02-28,CBE,Google Play
"It's a shame,it can't performe well,you guys can't even fix a bug, It's getting unusable, shame shame shame 😡",1,2025-02-28,CBE,Google Play
Easy to Use and Effecent System.,5,2025-02-28,CBE,Google Play
Great,5,2025-02-28,CBE,Google Play
It is good but i can not install the app why? And the other one is it is better to show the earliest transactions for instanse before 30 days ago,3,2025-02-27,CBE,Google Play
"I have been using the App since it is first released and it has been nice, but the latest Update are very worse the app crashes frequently and drains battery highly.",3,2025-02-27,CBE,Google Play
Commercial bank and it's mobile banking is very good,5,2025-02-27,CBE,Google Play
Friendly mobile banking application,5,2025-02-27,CBE,Google Play
Vary good,5,2025-02-27,CBE,Google Play
1 star because I have to visit my bank for new installation of the app and reactivation takes about 45 to 60 minutes with there long queue and system failures. Learn from telebire app and give options to customers to apt out of this ridiculous security feature. Second why is there no customization in the settings for displaying which account I want displayed in the first section rather that slide to my main account every time. You are making us pay a monthly subscription. Bare minimum is not it,1,2025-02-26,CBE,Google Play
Recently it is not working please check it,2,2025-02-26,CBE,Google Play
This app😎,5,2025-02-26,CBE,Google Play
It is a user friendly excellent app.,5,2025-02-26,CBE,Google Play
Simple and efficient,5,2025-02-25,CBE,Google Play
It is Better to use and Save time. I truly appreciate the Bank System.,5,2025-02-25,CBE,Google Play
Good Work,5,2025-02-25,CBE,Google Play
Simple and secure app,5,2025-02-25,CBE,Google Play
Crashing frequently every time I try to log in.. it's so annoying,1,2025-02-25,CBE,Google Play
FIX THE BUG! so frustrating,3,2025-02-25,CBE,Google Play
"The app is full of bugs here and there, perhaps it's from the backend side idk. For instance the transaction history you see on top is one made a couple of months ago and you have to refresh until you reach the top. it's just so bizarre. And you can't even search for a transaction you made. Someone with a lot of transactions will find it annoying. Even simple things like localising dates to Amharic dates are now correctly implemented.",2,2025-02-25,CBE,Google Play
Good experience,5,2025-02-24,CBE,Google Play
